LogFilename: 2020-03-08-19:41:10_monitoringLog
JSonLogFilename: 2020-03-08-19:41:10_monitoringLog
vector_extension	format	bitwidth	countValuesSmall	countValuesLarge	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	check
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	19	1024	134217728	2	196971	147012	36250	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	19	1024	134217728	2	182875	134839	34692	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	20	1024	134217728	2	205635	154164	37079	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	20	1024	134217728	2	184247	140972	29234	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	21	1024	134217728	2	214017	159851	39081	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	21	1024	134217728	2	197620	148696	34199	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	22	1024	134217728	2	221419	167039	38671	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	22	1024	134217728	2	205470	157930	32182	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	23	1024	134217728	2	233720	175124	42096	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	23	1024	134217728	2	219020	164476	38495	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	24	1024	134217728	2	242044	182422	42503	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	24	1024	134217728	2	224707	173254	34691	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	25	1024	134217728	2	252037	189586	44647	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	25	1024	134217728	2	237059	177661	41800	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	26	1024	134217728	2	260089	196838	44785	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	26	1024	134217728	2	240077	184233	37694	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	27	1024	134217728	2	272416	205651	47580	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	27	1024	134217728	2	258063	191972	47266	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	28	1024	134217728	2	278334	210571	47916	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	28	1024	134217728	2	258114	198491	40093	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	29	1024	134217728	2	287224	216580	49913	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	29	1024	134217728	2	274438	205365	48937	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	30	1024	134217728	2	300135	227631	51305	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	30	1024	134217728	2	276816	212548	43381	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	31	1024	134217728	2	308841	234287	52678	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	31	1024	134217728	2	294566	220424	52596	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	32	1024	134217728	2	311035	237583	50843	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	32	1024	134217728	2	290526	224307	43937	1
