LogFilename: 2020-06-01-21:42:38_monitoringLog
JSonLogFilename: 2020-06-01-21:42:38_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
X_240_1	static_vbp_f<vbp_l<5, 8> >	static_vbp_f<vbp_l<bw, 8> >	11574716	11574272	7238112	7233920
X_240_1	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	11574716	11574272	7268448	7256576
X_240_1	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	93337760	93317568
X_240_1	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	8068064	8047744
C_77	uncompr_f	uncompr_f	365	0	2920	0
C_77	static_vbp_f<vbp_l<12, 8> >	static_vbp_f<vbp_l<bw, 8> >	365	0	4456	0
C_77	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	365	0	11240	0
C_77	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	365	0	19560	0
C_77	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	365	0	19688	0
date.d_datekey	uncompr_f	uncompr_f	2556	0	20448	0
date.d_datekey	static_vbp_f<vbp_l<25, 8> >	static_vbp_f<vbp_l<bw, 8> >	2556	2048	13664	6400
date.d_datekey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2556	2048	18848	6464
date.d_datekey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2556	2048	25120	4416
date.d_datekey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2556	2048	24800	3968
X_186_1	uncompr_f	uncompr_f	57707826	0	461662608	0
X_186_1	static_vbp_f<vbp_l<22, 8> >	static_vbp_f<vbp_l<bw, 8> >	57707826	57707520	158700944	158695680
X_186_1	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	57707826	57707520	158819216	158808448
X_186_1	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	57707826	57707520	465285968	465266880
X_186_1	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	57707826	57707520	162772496	162753280
X_258	uncompr_f	uncompr_f	100	0	800	0
X_258	static_vbp_f<vbp_l<11, 8> >	static_vbp_f<vbp_l<bw, 8> >	100	0	2208	0
X_258	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	100	0	9120	0
X_258	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	100	0	17440	0
X_258	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	100	0	17568	0
X_186	uncompr_f	uncompr_f	11574716	0	92597728	0
X_186	static_vbp_f<vbp_l<22, 8> >	static_vbp_f<vbp_l<bw, 8> >	11574716	11574272	31835616	31829248
X_186	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	11574716	11574272	31863776	31851904
X_186	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	93337760	93317568
X_186	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	32663392	32643072
C_253	uncompr_f	uncompr_f	10	0	80	0
